year,industry1,industry2,industry3,employment_change
2012,services,wholesale and retail trade,wholesale trade,6.2
2012,services,wholesale and retail trade,retail trade,5.4
2012,services,transportation and storage,land transport and supporting services,2.3
2012,services,transportation and storage,water transport and supporting services,1
2012,services,transportation and storage,air transport and supporting services,2.1
2012,services,transportation and storage,other transportation and storage services,3.9
2012,services,accommodation and food services,accommodation,0.6
2012,services,accommodation and food services,food and beverage services,6.6
2012,services,information and communications,"telecommunications, broadcasting and publishing",0.2
2012,services,information and communications,it and other information services,2.9
2012,services,financial and insurance services,financial services,5.1
2012,services,financial and insurance services,insurance services,0.8
2012,services,real estate services,real estate services,4.1
2012,services,professional services,"legal, accounting and management services",4.1
2012,services,professional services,architectural and engineering services,3
2012,services,professional services,other professional services,3.1
2012,services,administrative and support services,security and investigation,0.9
2012,services,administrative and support services,cleaning and landscaping,2.1
2012,services,administrative and support services,other administrative and support services,4
2012,services,"community, social and personal services",public administration and education,8
2012,services,"community, social and personal services",health and social services,8.5
2012,services,"community, social and personal services","arts, entertainment and recreation",-0.4
2012,services,"community, social and personal services","other community, social and personal services",4
2013,others,others,others,1.7
2013,construction,construction,construction,38.5
2013,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5
2013,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.7
2013,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.7
2013,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",0.3
2013,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-3
2013,manufacturing,transport equipment,transport equipment,3.3
2013,manufacturing,other manufacturing industries,other manufacturing industries,0.6
2013,services,wholesale and retail trade,wholesale trade,9.7
2013,services,wholesale and retail trade,retail trade,5.8
2013,services,transportation and storage,land transport and supporting services,2.8
2013,services,transportation and storage,water transport and supporting services,2.2
2013,services,transportation and storage,air transport and supporting services,1.1
2013,services,transportation and storage,other transportation and storage services,2.1
2013,services,accommodation and food services,accommodation,-0.2
2013,services,accommodation and food services,food and beverage services,7.7
2013,services,information and communications,"telecommunications, broadcasting and publishing",1.3
2013,services,information and communications,it and other information services,5.1
2013,services,financial and insurance services,financial services,5
2013,services,financial and insurance services,insurance services,0.8
2013,services,real estate services,real estate services,-1.4
2013,services,professional services,"legal, accounting and management services",8.4
2013,services,professional services,architectural and engineering services,3.3
2013,services,professional services,other professional services,3
2013,services,administrative and support services,security and investigation,1.3
2013,services,administrative and support services,cleaning and landscaping,6
2013,services,administrative and support services,other administrative and support services,3.3
2013,services,"community, social and personal services",public administration and education,6.5
2013,services,"community, social and personal services",health and social services,9
2013,services,"community, social and personal services","arts, entertainment and recreation",-0.6
2013,services,"community, social and personal services","other community, social and personal services",9.1
2014,others,others,others,0.7
2014,construction,construction,construction,14.7
2014,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",2.1
2014,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-1
2014,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-3.5
2014,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.5
2014,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.9
2014,manufacturing,transport equipment,transport equipment,-3.6
2014,manufacturing,other manufacturing industries,other manufacturing industries,1.5
2014,services,wholesale and retail trade,wholesale trade,8
2014,services,wholesale and retail trade,retail trade,9.5
2014,services,transportation and storage,land transport and supporting services,3.2
2014,services,transportation and storage,water transport and supporting services,2
2014,services,transportation and storage,air transport and supporting services,-0.2
2014,services,transportation and storage,other transportation and storage services,3
2014,services,accommodation and food services,accommodation,0.6
2014,services,accommodation and food services,food and beverage services,9.6
2014,services,information and communications,"telecommunications, broadcasting and publishing",0.7
2014,services,information and communications,it and other information services,6.2
2014,services,financial and insurance services,financial services,5.2
2014,services,financial and insurance services,insurance services,3.4
2014,services,real estate services,real estate services,7.3
